famsup_no,famsup_yes,famsup_no,famsup_yes,nursery_no,nursery_yes,schoolsup_no,schoolsup_yes,paid_no,paid_yes,internet_no,internet_yes,address_R,address_U,romantic_no,romantic_yes,schoolsup_no,schoolsup_yes,famsup_no,famsup_yes
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0
1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0
0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
