schoolsup_no,schoolsup_yes,address_R,address_U,higher_no,higher_yes,Pstatus_A,Pstatus_T,Pstatus_A,Pstatus_T,higher_no,higher_yes,internet_no,internet_yes,schoolsup_no,schoolsup_yes,nursery_no,nursery_yes,higher_no,higher_yes
1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
